"flujo_codigo";"flujo_nombre";"periodo_anio";"periodo_mes";"pais_codigo";"pais_nombre";"taric";"euros";"kilos";
"I";"Importación";"2022";"";"660";"Afganistán";"14";"15797,25";"105";
"I";"Importación";"2022";"";"660";"Afganistán";"23";"199,29";"55";
"I";"Importación";"2022";"";"660";"Afganistán";"25";"689547,66";"2040245";
"I";"Importación";"2022";"";"660";"Afganistán";"27";"7238,08";"2956,8";
"I";"Importación";"2022";"";"660";"Afganistán";"29";"309,38";"1";
"I";"Importación";"2022";"";"660";"Afganistán";"30";"14036,02";"5,78";
"I";"Importación";"2021";"";"660";"Afganistán";"14";"71634,29";"992";
"I";"Importación";"2021";"";"660";"Afganistán";"19";"252,96";"9,12";
"I";"Importación";"2021";"";"660";"Afganistán";"21";"765,55";"15";
"I";"Importación";"2021";"";"660";"Afganistán";"23";"32812";"5578";
"I";"Importación";"2021";"";"660";"Afganistán";"25";"127629,03";"423310,02";
"I";"Importación";"2021";"";"660";"Afganistán";"29";"615,43";"12";
"I";"Importación";"2021";"";"660";"Afganistán";"30";"398479,05";"172,90";
"I";"Importación";"2020";"";"660";"Afganistán";"14";"36095,36";"400";
"I";"Importación";"2020";"";"660";"Afganistán";"21";"1053,03";"26,9";
"I";"Importación";"2020";"";"660";"Afganistán";"29";"304,2";"7";
"I";"Importación";"2020";"";"660";"Afganistán";"30";"290068,8";"120,86";
"I";"Importación";"2019";"";"660";"Afganistán";"13";"52,34";"0,5";
"I";"Importación";"2019";"";"660";"Afganistán";"21";"1679,11";"22";
"I";"Importación";"2019";"";"660";"Afganistán";"27";"31139,64";"39790";
"I";"Importación";"2019";"";"660";"Afganistán";"29";"407,41";"11";
"I";"Importación";"2019";"";"660";"Afganistán";"30";"289825,45";"2568,30";
"I";"Importación";"2022";"";"070";"Albania";"12";"1603183,44";"380884,35";
"I";"Importación";"2022";"";"070";"Albania";"13";"99,13";"1";
"I";"Importación";"2022";"";"070";"Albania";"15";"711618,04";"586780";
"I";"Importación";"2022";"";"070";"Albania";"16";"1292025,63";"152495,09";
"I";"Importación";"2022";"";"070";"Albania";"19";"295,15";"7,2";
"I";"Importación";"2022";"";"070";"Albania";"20";"126,68";"2";
"I";"Importación";"2022";"";"070";"Albania";"22";"716642,32";"383305,9";
"I";"Importación";"2022";"";"070";"Albania";"27";"298151995,79";"541988773";
"I";"Importación";"2022";"";"070";"Albania";"29";"156,52";"3,6";
"I";"Importación";"2021";"";"070";"Albania";"12";"1359301,51";"376570,14";
"I";"Importación";"2021";"";"070";"Albania";"13";"113773,46";"20650";
"I";"Importación";"2021";"";"070";"Albania";"16";"470373,49";"53899,09";
"I";"Importación";"2021";"";"070";"Albania";"17";"74,12";"2,7";
"I";"Importación";"2021";"";"070";"Albania";"19";"95540,6";"45502,05";
"I";"Importación";"2021";"";"070";"Albania";"21";"847";"88";
"I";"Importación";"2021";"";"070";"Albania";"22";"913772,73";"507963,4";
"I";"Importación";"2021";"";"070";"Albania";"25";"3470,14";"20764,5";
"I";"Importación";"2021";"";"070";"Albania";"26";"101,25";"22";
"I";"Importación";"2021";"";"070";"Albania";"27";"169612699,33";"546571217";
"I";"Importación";"2021";"";"070";"Albania";"30";"65,33";"1";
"I";"Importación";"2020";"";"070";"Albania";"12";"851323,43";"365011,99";
"I";"Importación";"2020";"";"070";"Albania";"16";"1765807,11";"238559,8";
"I";"Importación";"2020";"";"070";"Albania";"19";"80895,08";"41716,02";
"I";"Importación";"2020";"";"070";"Albania";"20";"41440";"22400";
"I";"Importación";"2020";"";"070";"Albania";"21";"247,11";"0,82";
"I";"Importación";"2020";"";"070";"Albania";"22";"411291";"233730";
"I";"Importación";"2020";"";"070";"Albania";"25";"245,89";"53";
"I";"Importación";"2020";"";"070";"Albania";"26";"607598,03";"15292355";
"I";"Importación";"2020";"";"070";"Albania";"27";"114240449,5";"540302929";
"I";"Importación";"2020";"";"070";"Albania";"29";"20079";"8325";
"I";"Importación";"2020";"";"070";"Albania";"30";"797,17";"1,9";
"I";"Importación";"2019";"";"070";"Albania";"12";"647332,29";"249820,42";
"I";"Importación";"2019";"";"070";"Albania";"16";"1558936,46";"172284,03";
"I";"Importación";"2019";"";"070";"Albania";"19";"40916,07";"61421,80";
"I";"Importación";"2019";"";"070";"Albania";"21";"367";"5";
"I";"Importación";"2019";"";"070";"Albania";"22";"289643,16";"160240";
"I";"Importación";"2019";"";"070";"Albania";"25";"62,37";"1";
"I";"Importación";"2019";"";"070";"Albania";"27";"174172891,49";"587357423";
"I";"Importación";"2022";"";"004";"Alemania";"11";"45278621,84";"50852348,53";
"I";"Importación";"2022";"";"004";"Alemania";"12";"48527759,23";"51279221,31";
"I";"Importación";"2022";"";"004";"Alemania";"13";"41079049,53";"2361859,40";
"I";"Importación";"2022";"";"004";"Alemania";"14";"497863,69";"97531,32";
"I";"Importación";"2022";"";"004";"Alemania";"15";"141035435,03";"77895567,96";
