"flujo_codigo";"flujo_nombre";"periodo_anio";"periodo_mes";"pais_codigo";"pais_nombre";"taric";"euros";"kilos";
"I";"Importación";"2022";"";"660";"Afganistán";"36";"85,37";"1";
"I";"Importación";"2022";"";"660";"Afganistán";"38";"64474,6";"2018,51";
"I";"Importación";"2022";"";"660";"Afganistán";"39";"1602,26";"23";
"I";"Importación";"2022";"";"660";"Afganistán";"40";"31755,53";"10208,17";
"I";"Importación";"2022";"";"660";"Afganistán";"42";"1202,62";"37,52";
"I";"Importación";"2022";"";"660";"Afganistán";"44";"120";"50";
"I";"Importación";"2022";"";"660";"Afganistán";"48";"530,27";"11,7";
"I";"Importación";"2022";"";"660";"Afganistán";"49";"443,55";"1,9";
"I";"Importación";"2021";"";"660";"Afganistán";"33";"20782";"42,65";
"I";"Importación";"2021";"";"660";"Afganistán";"38";"1655,65";"58,5";
"I";"Importación";"2021";"";"660";"Afganistán";"39";"175,1";"1,26";
"I";"Importación";"2021";"";"660";"Afganistán";"40";"1335,79";"31,7";
"I";"Importación";"2021";"";"660";"Afganistán";"42";"30688,32";"1886,73";
"I";"Importación";"2021";"";"660";"Afganistán";"44";"65827,83";"10279,81";
"I";"Importación";"2021";"";"660";"Afganistán";"49";"2526,62";"128,9";
"I";"Importación";"2020";"";"660";"Afganistán";"33";"256,37";"8";
"I";"Importación";"2020";"";"660";"Afganistán";"38";"1128";"60";
"I";"Importación";"2020";"";"660";"Afganistán";"39";"207,73";"14,9";
"I";"Importación";"2020";"";"660";"Afganistán";"40";"10217,94";"760,45";
"I";"Importación";"2020";"";"660";"Afganistán";"42";"1120,11";"4,38";
"I";"Importación";"2020";"";"660";"Afganistán";"44";"782,79";"3";
"I";"Importación";"2020";"";"660";"Afganistán";"49";"747,96";"28";
"I";"Importación";"2019";"";"660";"Afganistán";"33";"297,81";"11,38";
"I";"Importación";"2019";"";"660";"Afganistán";"34";"2158,31";"158";
"I";"Importación";"2019";"";"660";"Afganistán";"35";"130,55";"2";
"I";"Importación";"2019";"";"660";"Afganistán";"38";"20505,5";"312,14";
"I";"Importación";"2019";"";"660";"Afganistán";"39";"6573,33";"115";
"I";"Importación";"2019";"";"660";"Afganistán";"40";"403,9";"18";
"I";"Importación";"2019";"";"660";"Afganistán";"42";"1633,41";"26,05";
"I";"Importación";"2019";"";"660";"Afganistán";"44";"1105,95";"2";
"I";"Importación";"2019";"";"660";"Afganistán";"48";"186,7";"14";
"I";"Importación";"2019";"";"660";"Afganistán";"49";"937,95";"25";
"I";"Importación";"2022";"";"070";"Albania";"31";"2159184,48";"2509390";
"I";"Importación";"2022";"";"070";"Albania";"32";"161,82";"4,5";
"I";"Importación";"2022";"";"070";"Albania";"33";"228638,89";"3723,38";
"I";"Importación";"2022";"";"070";"Albania";"34";"3948,9";"128,47";
"I";"Importación";"2022";"";"070";"Albania";"35";"31053,68";"24110";
"I";"Importación";"2022";"";"070";"Albania";"36";"199101,78";"90956";
"I";"Importación";"2022";"";"070";"Albania";"38";"3435";"535,5";
"I";"Importación";"2022";"";"070";"Albania";"39";"162558,16";"121544,51";
"I";"Importación";"2022";"";"070";"Albania";"40";"2606,33";"24,54";
"I";"Importación";"2022";"";"070";"Albania";"42";"112505,1";"1137,48";
"I";"Importación";"2022";"";"070";"Albania";"43";"4286,95";"18";
"I";"Importación";"2022";"";"070";"Albania";"44";"44506,69";"2592";
"I";"Importación";"2022";"";"070";"Albania";"48";"97969,08";"9294,94";
"I";"Importación";"2022";"";"070";"Albania";"49";"593,72";"20";
"I";"Importación";"2021";"";"070";"Albania";"33";"204134,1";"3298,27";
"I";"Importación";"2021";"";"070";"Albania";"34";"5048,97";"226,87";
"I";"Importación";"2021";"";"070";"Albania";"36";"18702,62";"10642";
"I";"Importación";"2021";"";"070";"Albania";"38";"162,04";"1";
"I";"Importación";"2021";"";"070";"Albania";"39";"33086,19";"40165,99";
"I";"Importación";"2021";"";"070";"Albania";"40";"419,28";"16,56";
"I";"Importación";"2021";"";"070";"Albania";"42";"96018,21";"1122,66";
"I";"Importación";"2021";"";"070";"Albania";"43";"2121,9";"2";
"I";"Importación";"2021";"";"070";"Albania";"44";"57022,09";"13640,61";
"I";"Importación";"2021";"";"070";"Albania";"48";"16508,72";"2270,82";
"I";"Importación";"2021";"";"070";"Albania";"49";"512,17";"56,4";
"I";"Importación";"2020";"";"070";"Albania";"32";"155,57";"9";
"I";"Importación";"2020";"";"070";"Albania";"33";"394607,15";"8122,55";
"I";"Importación";"2020";"";"070";"Albania";"34";"7578,97";"269,59";
"I";"Importación";"2020";"";"070";"Albania";"36";"125156,28";"25489";
"I";"Importación";"2020";"";"070";"Albania";"38";"394,78";"29";
"I";"Importación";"2020";"";"070";"Albania";"39";"308185,35";"115078,14";
"I";"Importación";"2020";"";"070";"Albania";"40";"70,53";"2";
"I";"Importación";"2020";"";"070";"Albania";"41";"1801,83";"69";
"I";"Importación";"2020";"";"070";"Albania";"42";"498602,96";"9479,40";
"I";"Importación";"2020";"";"070";"Albania";"44";"33029";"1620";
"I";"Importación";"2020";"";"070";"Albania";"48";"3295,49";"5881,72";
"I";"Importación";"2019";"";"070";"Albania";"33";"399476";"8813,23";
"I";"Importación";"2019";"";"070";"Albania";"34";"2286";"94,77";
"I";"Importación";"2019";"";"070";"Albania";"39";"11525,1";"9678";
"I";"Importación";"2019";"";"070";"Albania";"42";"1570890,49";"78000,05";
"I";"Importación";"2019";"";"070";"Albania";"44";"35677,22";"1813";
"I";"Importación";"2022";"";"004";"Alemania";"31";"109656241,43";"139416220,61";
"I";"Importación";"2022";"";"004";"Alemania";"32";"513568961,51";"95295210,92";
"I";"Importación";"2022";"";"004";"Alemania";"33";"477841107,29";"50440169,46";
"I";"Importación";"2022";"";"004";"Alemania";"34";"269625403,09";"85277935,50";
"I";"Importación";"2022";"";"004";"Alemania";"35";"166374265,14";"42475207,09";
"I";"Importación";"2022";"";"004";"Alemania";"36";"8309104,93";"3013136,34";
"I";"Importación";"2022";"";"004";"Alemania";"37";"62450885,26";"6868241,01";
"I";"Importación";"2022";"";"004";"Alemania";"38";"978231144";"235061384,16";
"I";"Importación";"2022";"";"004";"Alemania";"39";"3128572916,41";"1048752982,84";
"I";"Importación";"2022";"";"004";"Alemania";"40";"623051005,68";"128234133,08";
"I";"Importación";"2022";"";"004";"Alemania";"41";"11916588,32";"3201643,69";
"I";"Importación";"2022";"";"004";"Alemania";"42";"66568898,78";"3720861,12";
"I";"Importación";"2022";"";"004";"Alemania";"43";"423155,27";"6702,17";
"I";"Importación";"2022";"";"004";"Alemania";"44";"192087306,67";"201637623,51";
"I";"Importación";"2022";"";"004";"Alemania";"45";"246480,94";"73376,88";
"I";"Importación";"2022";"";"004";"Alemania";"46";"1460786,79";"153731,26";
"I";"Importación";"2022";"";"004";"Alemania";"47";"25908527,12";"37982578,82";
"I";"Importación";"2022";"";"004";"Alemania";"48";"769688393,07";"565862231,28";
"I";"Importación";"2022";"";"004";"Alemania";"49";"63986739,4";"8137543,29";
"I";"Importación";"2022";"";"004";"Alemania";"50";"77063,29";"10637,23";
"I";"Importación";"2021";"";"004";"Alemania";"31";"58725559,95";"170440755,78";
"I";"Importación";"2021";"";"004";"Alemania";"32";"477951311,97";"103267451,69";
"I";"Importación";"2021";"";"004";"Alemania";"33";"395131915,4";"58509054,21";
"I";"Importación";"2021";"";"004";"Alemania";"34";"259033972,57";"106896425,33";
"I";"Importación";"2021";"";"004";"Alemania";"35";"126467164,45";"46192729,70";
"I";"Importación";"2021";"";"004";"Alemania";"36";"6973520,62";"4126775,05";
"I";"Importación";"2021";"";"004";"Alemania";"37";"50830926,34";"5957417,58";
"I";"Importación";"2021";"";"004";"Alemania";"38";"888747716,69";"261449876,75";
"I";"Importación";"2021";"";"004";"Alemania";"39";"2274793303,86";"811787790,06";
"I";"Importación";"2021";"";"004";"Alemania";"40";"516161151,13";"136459691,15";
"I";"Importación";"2021";"";"004";"Alemania";"41";"7294814,5";"1804412,91";
"I";"Importación";"2021";"";"004";"Alemania";"42";"53202660,82";"3151388,12";
"I";"Importación";"2021";"";"004";"Alemania";"43";"343628,99";"8897,71";
"I";"Importación";"2021";"";"004";"Alemania";"44";"176701178,89";"212624061,24";
"I";"Importación";"2021";"";"004";"Alemania";"45";"314579,13";"63438,24";
"I";"Importación";"2021";"";"004";"Alemania";"46";"1224175,29";"126745,27";
"I";"Importación";"2021";"";"004";"Alemania";"47";"18416321,03";"30800777,22";
"I";"Importación";"2021";"";"004";"Alemania";"48";"606428503,24";"583163258,3";
"I";"Importación";"2021";"";"004";"Alemania";"49";"81127560,93";"10157220,40";
"I";"Importación";"2021";"";"004";"Alemania";"50";"303634,7";"5214,34";
"I";"Importación";"2020";"";"004";"Alemania";"31";"53117595,59";"213195755,57";
"I";"Importación";"2020";"";"004";"Alemania";"32";"472232934,39";"95921460,15";
"I";"Importación";"2020";"";"004";"Alemania";"33";"356601974,15";"54716255,54";
"I";"Importación";"2020";"";"004";"Alemania";"34";"242148652,05";"112273992,69";
"I";"Importación";"2020";"";"004";"Alemania";"35";"108119808,47";"40609312,00";
"I";"Importación";"2020";"";"004";"Alemania";"36";"5144449,6";"3024802,08";
"I";"Importación";"2020";"";"004";"Alemania";"37";"48377732,2";"5969213,68";
"I";"Importación";"2020";"";"004";"Alemania";"38";"819105218,72";"218378436,68";
"I";"Importación";"2020";"";"004";"Alemania";"39";"1863171539,71";"808038099,88";
"I";"Importación";"2020";"";"004";"Alemania";"40";"451195037,34";"133528868,90";
"I";"Importación";"2020";"";"004";"Alemania";"41";"6663970,74";"1678504,15";
"I";"Importación";"2020";"";"004";"Alemania";"42";"37041457,01";"3006059,97";
"I";"Importación";"2020";"";"004";"Alemania";"43";"285302,53";"14874,84";
"I";"Importación";"2020";"";"004";"Alemania";"44";"128663196,87";"194100646,06";
"I";"Importación";"2020";"";"004";"Alemania";"45";"371681,91";"142968,40";
"I";"Importación";"2020";"";"004";"Alemania";"46";"418543,34";"48490,66";
"I";"Importación";"2020";"";"004";"Alemania";"47";"15920091,77";"27229543,75";
"I";"Importación";"2020";"";"004";"Alemania";"48";"500394776,1";"495031405,59";
"I";"Importación";"2020";"";"004";"Alemania";"49";"71341147,13";"10522192,70";
"I";"Importación";"2020";"";"004";"Alemania";"50";"167304,16";"3154,19";
"I";"Importación";"2019";"";"004";"Alemania";"31";"44339060,4";"151336611,21";
"I";"Importación";"2019";"";"004";"Alemania";"32";"612370888,15";"113787401,18";
"I";"Importación";"2019";"";"004";"Alemania";"33";"424249501,4";"56506271,05";
"I";"Importación";"2019";"";"004";"Alemania";"34";"259481162,9";"120202892,26";
"I";"Importación";"2019";"";"004";"Alemania";"35";"129211727,5";"36833267,67";
"I";"Importación";"2019";"";"004";"Alemania";"36";"5354143,39";"3094174,36";
"I";"Importación";"2019";"";"004";"Alemania";"37";"60825791,3";"7562589,10";
"I";"Importación";"2019";"";"004";"Alemania";"38";"862445064,79";"228010051,75";
"I";"Importación";"2019";"";"004";"Alemania";"39";"2029315042,83";"808831830,70";
"I";"Importación";"2019";"";"004";"Alemania";"40";"523338442,21";"159358884,30";
"I";"Importación";"2019";"";"004";"Alemania";"41";"8920188,79";"1648367,88";
"I";"Importación";"2019";"";"004";"Alemania";"42";"43456252,26";"3198648,13";
"I";"Importación";"2019";"";"004";"Alemania";"43";"751181,52";"6915,69";
"I";"Importación";"2019";"";"004";"Alemania";"44";"143255694,82";"201973783,00";
"I";"Importación";"2019";"";"004";"Alemania";"45";"915290,87";"105220,84";
"I";"Importación";"2019";"";"004";"Alemania";"46";"545769,11";"48742,50";
"I";"Importación";"2019";"";"004";"Alemania";"47";"19999923,06";"28964540,16";
"I";"Importación";"2019";"";"004";"Alemania";"48";"526738683,57";"455570032,20";
"I";"Importación";"2019";"";"004";"Alemania";"49";"93725503,72";"13002162,51";
"I";"Importación";"2019";"";"004";"Alemania";"50";"224964,44";"4588,52";
"I";"Importación";"2022";"";"043";"Andorra";"32";"9874,13";"18";
"I";"Importación";"2022";"";"043";"Andorra";"33";"488";"9";
"I";"Importación";"2022";"";"043";"Andorra";"38";"720";"77180";
"I";"Importación";"2022";"";"043";"Andorra";"39";"53692,66";"11236,4";
"I";"Importación";"2022";"";"043";"Andorra";"42";"3555,15";"22,3";
"I";"Importación";"2022";"";"043";"Andorra";"44";"81343,72";"2193215";
"I";"Importación";"2022";"";"043";"Andorra";"48";"3297133,09";"81378";
"I";"Importación";"2022";"";"043";"Andorra";"49";"12354,02";"269,5";
"I";"Importación";"2021";"";"043";"Andorra";"32";"1983,96";"4";
"I";"Importación";"2021";"";"043";"Andorra";"33";"20000,71";"200";
"I";"Importación";"2021";"";"043";"Andorra";"38";"1800";"192640";
"I";"Importación";"2021";"";"043";"Andorra";"39";"2489341,28";"841097,08";
"I";"Importación";"2021";"";"043";"Andorra";"40";"29879,12";"1526";
"I";"Importación";"2021";"";"043";"Andorra";"41";"177,5";"186";
"I";"Importación";"2021";"";"043";"Andorra";"42";"2891,2";"34,9";
"I";"Importación";"2021";"";"043";"Andorra";"44";"293180,82";"726401";
"I";"Importación";"2021";"";"043";"Andorra";"48";"3170890,12";"291295";
"I";"Importación";"2021";"";"043";"Andorra";"49";"43004,6";"1008,5";
"I";"Importación";"2020";"";"043";"Andorra";"32";"11442,21";"463";
"I";"Importación";"2020";"";"043";"Andorra";"33";"138,36";"27";
"I";"Importación";"2020";"";"043";"Andorra";"34";"1409,51";"406";
"I";"Importación";"2020";"";"043";"Andorra";"35";"101,64";"6";
"I";"Importación";"2020";"";"043";"Andorra";"38";"3413,82";"255219";
"I";"Importación";"2020";"";"043";"Andorra";"39";"4607227,6";"1503721";
"I";"Importación";"2020";"";"043";"Andorra";"40";"8788,44";"1184,42";
"I";"Importación";"2020";"";"043";"Andorra";"41";"410,42";"520";
"I";"Importación";"2020";"";"043";"Andorra";"42";"717,83";"3";
"I";"Importación";"2020";"";"043";"Andorra";"44";"278320,04";"1228494";
"I";"Importación";"2020";"";"043";"Andorra";"48";"1941172,64";"135601,08";
"I";"Importación";"2020";"";"043";"Andorra";"49";"7881,66";"135,5";
"I";"Importación";"2019";"";"043";"Andorra";"32";"36958,56";"2430";
"I";"Importación";"2019";"";"043";"Andorra";"33";"179149,18";"1337";
"I";"Importación";"2019";"";"043";"Andorra";"34";"1548";"4646";
"I";"Importación";"2019";"";"043";"Andorra";"38";"2163,75";"214115";
"I";"Importación";"2019";"";"043";"Andorra";"39";"6863523,99";"2185349";
"I";"Importación";"2019";"";"043";"Andorra";"40";"307,66";"41,6";
"I";"Importación";"2019";"";"043";"Andorra";"42";"1444,68";"21";
"I";"Importación";"2019";"";"043";"Andorra";"44";"157909,63";"2041745";
"I";"Importación";"2019";"";"043";"Andorra";"48";"1626593,31";"254372,63";
"I";"Importación";"2019";"";"043";"Andorra";"49";"93169,35";"743";
"I";"Importación";"2022";"";"330";"Angola";"33";"176,33";"0,9";
"I";"Importación";"2022";"";"330";"Angola";"38";"67,8";"14";
"I";"Importación";"2022";"";"330";"Angola";"39";"192432,17";"312706,08";
"I";"Importación";"2022";"";"330";"Angola";"40";"504,38";"30";
"I";"Importación";"2022";"";"330";"Angola";"44";"683411,85";"796999";
"I";"Importación";"2022";"";"330";"Angola";"48";"1113,35";"80";
"I";"Importación";"2021";"";"330";"Angola";"34";"128,49";"1";
"I";"Importación";"2021";"";"330";"Angola";"39";"35889,52";"76300,9";
"I";"Importación";"2021";"";"330";"Angola";"40";"1731,63";"340";
"I";"Importación";"2021";"";"330";"Angola";"42";"251,86";"1";
"I";"Importación";"2021";"";"330";"Angola";"44";"528917,06";"649210";
"I";"Importación";"2021";"";"330";"Angola";"49";"3662,46";"481";
"I";"Importación";"2020";"";"330";"Angola";"38";"233,57";"83";
"I";"Importación";"2020";"";"330";"Angola";"39";"157,7";"10,8";
"I";"Importación";"2020";"";"330";"Angola";"42";"433,48";"2,5";
"I";"Importación";"2020";"";"330";"Angola";"44";"275582,26";"289610";
"I";"Importación";"2020";"";"330";"Angola";"48";"658,14";"2200";
"I";"Importación";"2019";"";"330";"Angola";"38";"58,35";"1";
"I";"Importación";"2019";"";"330";"Angola";"40";"1346,5";"600";
"I";"Importación";"2019";"";"330";"Angola";"44";"668548,15";"779192";
"I";"Importación";"2019";"";"330";"Angola";"49";"1035,43";"61";
"I";"Importación";"2022";"";"446";"Anguilla";"34";"71";"1";
"I";"Importación";"2022";"";"446";"Anguilla";"49";"104,18";"38";
"I";"Importación";"2021";"";"446";"Anguilla";"42";"191";"2";
"I";"Importación";"2020";"";"446";"Anguilla";"42";"167";"3";
"I";"Importación";"2022";"";"891";"Antártida";"39";"18966";"892";
"I";"Importación";"2021";"";"891";"Antártida";"39";"2677";"221";
"I";"Importación";"2022";"";"459";"Antigua y Barbuda";"34";"536,36";"54,9";
"I";"Importación";"2022";"";"459";"Antigua y Barbuda";"42";"1176,45";"3,2";
"I";"Importación";"2021";"";"459";"Antigua y Barbuda";"38";"588,7";"600,32";
"I";"Importación";"2021";"";"459";"Antigua y Barbuda";"42";"1474,15";"39,8";
