"flujo_codigo";"flujo_nombre";"periodo_anio";"periodo_mes";"pais_codigo";"pais_nombre";"taric";"euros";"kilos";
"I";"Importación";"2022";"";"660";"Afganistán";"52";"760,24";"28";
"I";"Importación";"2022";"";"660";"Afganistán";"54";"43866,5";"18360";
"I";"Importación";"2022";"";"660";"Afganistán";"57";"9214,94";"177";
"I";"Importación";"2022";"";"660";"Afganistán";"61";"9054,59";"276,84";
"I";"Importación";"2022";"";"660";"Afganistán";"62";"7712,02";"74,8";
"I";"Importación";"2022";"";"660";"Afganistán";"64";"5506,47";"14";
"I";"Importación";"2022";"";"660";"Afganistán";"65";"154,84";"2";
"I";"Importación";"2022";"";"660";"Afganistán";"68";"68629,06";"8753";
"I";"Importación";"2022";"";"660";"Afganistán";"70";"100,71";"3,81";
"I";"Importación";"2021";"";"660";"Afganistán";"57";"50506,35";"3404,4";
"I";"Importación";"2021";"";"660";"Afganistán";"61";"4742,78";"151,08";
"I";"Importación";"2021";"";"660";"Afganistán";"62";"15596,36";"598,21";
"I";"Importación";"2021";"";"660";"Afganistán";"63";"497,31";"20";
"I";"Importación";"2021";"";"660";"Afganistán";"64";"6723,46";"16,9";
"I";"Importación";"2021";"";"660";"Afganistán";"65";"549,47";"1,95";
"I";"Importación";"2021";"";"660";"Afganistán";"70";"258,11";"1";
"I";"Importación";"2020";"";"660";"Afganistán";"57";"48992,21";"2065,9";
"I";"Importación";"2020";"";"660";"Afganistán";"61";"2723,4";"35,82";
"I";"Importación";"2020";"";"660";"Afganistán";"62";"5290,07";"45,56";
"I";"Importación";"2020";"";"660";"Afganistán";"63";"445382,52";"3360";
"I";"Importación";"2020";"";"660";"Afganistán";"64";"2298,39";"61";
"I";"Importación";"2020";"";"660";"Afganistán";"70";"9055,7";"1046,33";
"I";"Importación";"2019";"";"660";"Afganistán";"57";"36987,74";"2506";
"I";"Importación";"2019";"";"660";"Afganistán";"61";"5914,52";"49,06";
"I";"Importación";"2019";"";"660";"Afganistán";"62";"66314,92";"4009,50";
"I";"Importación";"2019";"";"660";"Afganistán";"63";"1886,08";"177";
"I";"Importación";"2019";"";"660";"Afganistán";"64";"1704,97";"16,13";
"I";"Importación";"2019";"";"660";"Afganistán";"65";"333,31";"11";
"I";"Importación";"2019";"";"660";"Afganistán";"68";"281,98";"42";
"I";"Importación";"2019";"";"660";"Afganistán";"69";"288,42";"100";
"I";"Importación";"2022";"";"070";"Albania";"58";"12132,7";"60,34";
"I";"Importación";"2022";"";"070";"Albania";"60";"9055,2";"11397";
"I";"Importación";"2022";"";"070";"Albania";"61";"6126369,11";"191063,15";
"I";"Importación";"2022";"";"070";"Albania";"62";"2177292,8";"35084,83";
"I";"Importación";"2022";"";"070";"Albania";"63";"158119,61";"45840";
"I";"Importación";"2022";"";"070";"Albania";"64";"5299994,55";"302702,68";
"I";"Importación";"2022";"";"070";"Albania";"65";"5663,33";"120,01";
"I";"Importación";"2022";"";"070";"Albania";"68";"56134,46";"139446,19";
"I";"Importación";"2022";"";"070";"Albania";"69";"10805,91";"1886,92";
"I";"Importación";"2022";"";"070";"Albania";"70";"31180,98";"26450";
"I";"Importación";"2021";"";"070";"Albania";"61";"6366526,08";"290942,71";
"I";"Importación";"2021";"";"070";"Albania";"62";"1320011,11";"41572,81";
"I";"Importación";"2021";"";"070";"Albania";"63";"52530,54";"15161,75";
"I";"Importación";"2021";"";"070";"Albania";"64";"3483413,92";"174974,86";
"I";"Importación";"2021";"";"070";"Albania";"65";"54874,93";"901,01";
"I";"Importación";"2021";"";"070";"Albania";"68";"20120,37";"85612";
"I";"Importación";"2021";"";"070";"Albania";"69";"535,76";"300";
"I";"Importación";"2020";"";"070";"Albania";"57";"300";"12";
"I";"Importación";"2020";"";"070";"Albania";"58";"732,22";"8";
"I";"Importación";"2020";"";"070";"Albania";"60";"1811,3";"70";
"I";"Importación";"2020";"";"070";"Albania";"61";"3434736,18";"85734,20";
"I";"Importación";"2020";"";"070";"Albania";"62";"116014,76";"1868,47";
"I";"Importación";"2020";"";"070";"Albania";"63";"171409,05";"67134,99";
"I";"Importación";"2020";"";"070";"Albania";"64";"9432813,99";"489771,85";
"I";"Importación";"2020";"";"070";"Albania";"65";"27047,21";"673,74";
"I";"Importación";"2020";"";"070";"Albania";"68";"48594,06";"52260";
"I";"Importación";"2020";"";"070";"Albania";"69";"216,63";"27";
"I";"Importación";"2020";"";"070";"Albania";"70";"4279,45";"4356";
"I";"Importación";"2019";"";"070";"Albania";"61";"4989463,79";"201211,97";
"I";"Importación";"2019";"";"070";"Albania";"62";"526165,99";"18311,75";
"I";"Importación";"2019";"";"070";"Albania";"63";"48201,8";"16219,36";
"I";"Importación";"2019";"";"070";"Albania";"64";"16669924,73";"820265,04";
"I";"Importación";"2019";"";"070";"Albania";"65";"149815,92";"4460,66";
"I";"Importación";"2019";"";"070";"Albania";"68";"20538,27";"24711";
"I";"Importación";"2019";"";"070";"Albania";"69";"281,59";"50";
"I";"Importación";"2019";"";"070";"Albania";"70";"15779,6";"18951,82";
"I";"Importación";"2022";"";"004";"Alemania";"51";"3526749,35";"3679889,03";
"I";"Importación";"2022";"";"004";"Alemania";"52";"6926477,02";"1004147,85";
"I";"Importación";"2022";"";"004";"Alemania";"53";"416452,58";"143929,87";
"I";"Importación";"2022";"";"004";"Alemania";"54";"37211523,12";"7111636,11";
"I";"Importación";"2022";"";"004";"Alemania";"55";"49620536,89";"12223534,00";
"I";"Importación";"2022";"";"004";"Alemania";"56";"74640808,94";"20500955,42";
"I";"Importación";"2022";"";"004";"Alemania";"57";"6308651,4";"3460087,12";
"I";"Importación";"2022";"";"004";"Alemania";"58";"8984008,02";"891808,97";
"I";"Importación";"2022";"";"004";"Alemania";"59";"62994601,82";"6185475,68";
"I";"Importación";"2022";"";"004";"Alemania";"60";"7249134,65";"279640,30";
"I";"Importación";"2022";"";"004";"Alemania";"61";"181544031,03";"51008237,45";
"I";"Importación";"2022";"";"004";"Alemania";"62";"138457501,97";"3227841,56";
"I";"Importación";"2022";"";"004";"Alemania";"63";"51228103,47";"10979809,70";
"I";"Importación";"2022";"";"004";"Alemania";"64";"197077263,92";"6978508,42";
"I";"Importación";"2022";"";"004";"Alemania";"65";"14570863,94";"339660,05";
"I";"Importación";"2022";"";"004";"Alemania";"66";"3030619,09";"3096693,75";
"I";"Importación";"2022";"";"004";"Alemania";"67";"1393974,14";"181443,26";
"I";"Importación";"2022";"";"004";"Alemania";"68";"116168424,24";"28221025,24";
"I";"Importación";"2022";"";"004";"Alemania";"69";"49409633,6";"18256920,66";
"I";"Importación";"2022";"";"004";"Alemania";"70";"264232648,41";"112766823,96";
"I";"Importación";"2021";"";"004";"Alemania";"51";"1462786,74";"179930,93";
"I";"Importación";"2021";"";"004";"Alemania";"52";"8293921,13";"2102223,66";
"I";"Importación";"2021";"";"004";"Alemania";"53";"474643,79";"123088,57";
"I";"Importación";"2021";"";"004";"Alemania";"54";"45523235,35";"7967943,33";
"I";"Importación";"2021";"";"004";"Alemania";"55";"61056918,27";"19363612,82";
"I";"Importación";"2021";"";"004";"Alemania";"56";"68539156,27";"16735160,35";
"I";"Importación";"2021";"";"004";"Alemania";"57";"4789519,19";"889137,93";
"I";"Importación";"2021";"";"004";"Alemania";"58";"8509980,57";"776794,56";
"I";"Importación";"2021";"";"004";"Alemania";"59";"49595392,29";"5041866,65";
"I";"Importación";"2021";"";"004";"Alemania";"60";"6604269,89";"253101,64";
"I";"Importación";"2021";"";"004";"Alemania";"61";"155234750,43";"6033748,50";
"I";"Importación";"2021";"";"004";"Alemania";"62";"117256704,76";"3447934,10";
"I";"Importación";"2021";"";"004";"Alemania";"63";"59277140,87";"9901462,03";
"I";"Importación";"2021";"";"004";"Alemania";"64";"144313293,97";"5146698,24";
"I";"Importación";"2021";"";"004";"Alemania";"65";"11735105,24";"266416,98";
"I";"Importación";"2021";"";"004";"Alemania";"66";"2626577,65";"538564,98";
"I";"Importación";"2021";"";"004";"Alemania";"67";"1082829,57";"125484,51";
"I";"Importación";"2021";"";"004";"Alemania";"68";"109641579,85";"30250022,20";
"I";"Importación";"2021";"";"004";"Alemania";"69";"44606403,86";"13934380,84";
"I";"Importación";"2021";"";"004";"Alemania";"70";"229609227,06";"122340252,84";
"I";"Importación";"2020";"";"004";"Alemania";"51";"1353493,39";"239877,33";
"I";"Importación";"2020";"";"004";"Alemania";"52";"4606725,33";"922458,35";
"I";"Importación";"2020";"";"004";"Alemania";"53";"372256,82";"88265,72";
"I";"Importación";"2020";"";"004";"Alemania";"54";"38009555,98";"6986120,42";
"I";"Importación";"2020";"";"004";"Alemania";"55";"47962802,44";"16301941,55";
"I";"Importación";"2020";"";"004";"Alemania";"56";"66970627,23";"15319361,67";
"I";"Importación";"2020";"";"004";"Alemania";"57";"4984289,19";"917166,84";
"I";"Importación";"2020";"";"004";"Alemania";"58";"7872215,87";"915230,30";
"I";"Importación";"2020";"";"004";"Alemania";"59";"49741203,67";"5841699,79";
"I";"Importación";"2020";"";"004";"Alemania";"60";"6597626,1";"200996,34";
"I";"Importación";"2020";"";"004";"Alemania";"61";"82793579,96";"5832149,78";
"I";"Importación";"2020";"";"004";"Alemania";"62";"98478778,4";"5027321,98";
"I";"Importación";"2020";"";"004";"Alemania";"63";"59708521,6";"12452402,85";
"I";"Importación";"2020";"";"004";"Alemania";"64";"62388509,71";"3544648,00";
"I";"Importación";"2020";"";"004";"Alemania";"65";"8742182";"832455,69";
"I";"Importación";"2020";"";"004";"Alemania";"66";"2039411,62";"335070,99";
"I";"Importación";"2020";"";"004";"Alemania";"67";"630932,36";"41937,75";
"I";"Importación";"2020";"";"004";"Alemania";"68";"114900159,07";"31106128,15";
"I";"Importación";"2020";"";"004";"Alemania";"69";"37773630,12";"12645060,29";
"I";"Importación";"2020";"";"004";"Alemania";"70";"209396762,97";"103943186,14";
"I";"Importación";"2019";"";"004";"Alemania";"51";"2430123,2";"169899,58";
"I";"Importación";"2019";"";"004";"Alemania";"52";"8577791,47";"2187717,73";
"I";"Importación";"2019";"";"004";"Alemania";"53";"399624,25";"66746,50";
"I";"Importación";"2019";"";"004";"Alemania";"54";"44420532,73";"7740718,53";
"I";"Importación";"2019";"";"004";"Alemania";"55";"58481745,35";"18412951,69";
"I";"Importación";"2019";"";"004";"Alemania";"56";"72638068,35";"19864332,25";
"I";"Importación";"2019";"";"004";"Alemania";"57";"6081586,61";"1165279,50";
"I";"Importación";"2019";"";"004";"Alemania";"58";"8746646,62";"845835,07";
"I";"Importación";"2019";"";"004";"Alemania";"59";"57481060,85";"6536382,75";
"I";"Importación";"2019";"";"004";"Alemania";"60";"10090906,14";"354622,23";
